"name","link","address"
"Gordon Avenue Market","https://wisc-housingdining.nutrislice.com/menu/gordon-avenue-market","770 W. Dayton St., Madison, WI 53706"
"Four Lakes Market","https://wisc-housingdining.nutrislice.com/menu/four-lakes-market","640 Elm Dr, Madison, WI, USA"
"Rheta's Market","https://wisc-housingdining.nutrislice.com/menu/rhetas-market","420 N. Park St., Madison, WI 53706"
"Carson's Market","https://wisc-housingdining.nutrislice.com/menu/carsons-market","1515 Tripp Circle, Madison, WI 53706"
"Liz's Market","https://wisc-housingdining.nutrislice.com/menu/lizs-market","1200 Observatory Dr., Madison, WI 53706"
"Lowell Market","https://wisc-housingdining.nutrislice.com/menu/lowell-market","610 Langdon St., Madison, WI 53703"
