"name","link","address","dates_of_operation","breakfast_hours","lunch_hours","dinner_hours"
"Four Lakes Market","https://wisc-housingdining.nutrislice.com/menu/four-lakes-market","640 Elm Dr, Madison, WI, USA","Jan 12 - May 9","9AM - 11AM","11AM - 2PM","4PM - 8PM"
"Carson's Market","https://wisc-housingdining.nutrislice.com/menu/carson's-market","1515 Tripp Circle, Madison, WI, USA","Jan 20 - May 9","","Closed","Closed"
"Liz's Market","https://wisc-housingdining.nutrislice.com/menu/liz's-market","1200 Observatory Drive, Madison, WI, USA","Jan 19 - May 9","Closed","Closed","Closed"
"Rheta's Market","https://wisc-housingdining.nutrislice.com/menu/rheta's-market","420 North Park Street, Madison, WI, USA","Jan 19 - May 9","Closed","Closed","Closed"
"Gordon Avenue Market","https://wisc-housingdining.nutrislice.com/menu/gordon-avenue-market","770 West Dayton Street, Madison, WI 53706, USA","Jan 12 - May 9","9AM - 11AM","11AM - 2PM","4PM - 8PM"
"Lowell Market","https://wisc-housingdining.nutrislice.com/menu/lowell-market","610 Langdon Street, Madison, WI, USA","Jan 20 - May 9","Closed","Closed","Closed"
