"location_name","meal_type","item_name","dietary_traits","serving_size","calories","total_fat","saturated_fat","trans_fat","cholesterol","sodium","total_carbohydrate","dietary_fiber","total_sugars","protein","calcium","iron","potassium"
"Four Lakes Market","lunch","Sliced Tomato","","1 1 slice","3","0g","0g","0g","0mg","1mg","1g","0g","1g","0g","2mg","0.1mg","45mg"
"Four Lakes Market","lunch","Pickle Chips","corn","1 0.25 cup","0","0g","0g","0g","0mg","648mg","0g","0g","0g","0g","0mg","0mg","0mg"
"Four Lakes Market","lunch","Banana Peppers","corn","1 Tbsp","1","0g","0g","0g","0mg","81mg","0g","0g","0g","0g","0mg","0mg","0mg"
"Four Lakes Market","lunch","Sliced Red Onion","","1 0.25 cup","9","0g","0g","0g","0mg","1mg","2g","0g","1g","0g","5mg","0mg","31mg"
"Four Lakes Market","lunch","Iceberg Lettuce","","1 0.25 cup","8","0.1g","0g","0g","0mg","6mg","2g","1g","1g","1g","10mg","0.2mg","80mg"
"Four Lakes Market","lunch","Avocado","","1 0.125 cup","57","6g","0.9g","0g","0mg","0mg","2g","2g","0g","1g","6mg","0.6mg","213mg"
"Four Lakes Market","lunch","Chipotle Mayonnaise","dairy, egg, soy","1 Tbsp","56","4.1g","1g","0g","3mg","121mg","4g","0g","3g","0g","0mg","0mg","0mg"
"Four Lakes Market","lunch","Dijon Mustard","corn","1 Tbsp","30","0g","0g","0g","0mg","720mg","8g","0g","0g","0g","0mg","0mg","0mg"
"Four Lakes Market","lunch","Heinz Yellow Mustard 14 oz","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Four Lakes Market","lunch","Mayonnaise","egg, soy, corn","1 Tbsp","101","11g","1.5g","0g","10mg","96mg","0g","0g","0g","0g","0mg","0mg","0mg"
"Four Lakes Market","lunch","Pesto Mayonnaise (pine nut free)","dairy, egg, soy","1 Tbsp","92","10g","1.3g","0g","9mg","95mg","0g","0g","0g","0g","3mg","0mg","2mg"
"Four Lakes Market","lunch","Vegetable Coconut Curry w/Rice","coconut, corn","1 10 oz","579","25g","9g","0g","0mg","498mg","76g","9g","9g","12g","111mg","3.6mg","1132mg"
"Four Lakes Market","lunch","Curry Potatoes","","1 4 oz","117","5g","0.4g","0g","0mg","300mg","16g","2g","2g","2g","13mg","0.7mg","424mg"
"Four Lakes Market","lunch","Samosas","wheat, soy, corn","1 1 each","159","9g","1g","0g","1mg","250mg","16g","2g","1g","3g","13.9mg","0.5mg","86mg"
"Four Lakes Market","lunch","White Basmati Rice","","1 4 oz","148","0.3g","0.1g","0g","0mg","1mg","32g","1g","0g","3g","11mg","0.2mg","40mg"
"Four Lakes Market","lunch","Build Your Own Thali Station","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Four Lakes Market","lunch","Station Recipe - Great Greens - FLM","dairy, egg, wheat","1 customer'","19","1.1g","0.3g","0g","5mg","49mg","1g","0g","0g","1g","4mg","0.1mg","20mg"
"Four Lakes Market","lunch","Tofu","soy","3 oz","90","4g","0g","0g","0mg","40mg","3g","1g","0g","8g","0mg","0mg","0mg"
"Four Lakes Market","lunch","Bulgar Wheat","wheat","2 oz","24","0.1g","0g","0g","0mg","2mg","5g","1g","0g","1g","4mg","0.3mg","20mg"
"Four Lakes Market","lunch","Black Beans","","1 4 oz","105","0.4g","0g","0g","0mg","396mg","20g","5g","1g","6g","52.5mg","1.6mg","0mg"
"Four Lakes Market","lunch","Dinner Roll","wheat, sesame","1 each1.9 oz","185","3.9g","0.8g","0g","2mg","278mg","31g","1g","3g","6g","106mg","2.2mg","83mg"
"Four Lakes Market","lunch","Chicken Noodle Soup","egg, wheat, corn","1 cup  12 oz","191","4.2g","0.4g","0g","61mg","1291mg","25g","2g","4g","13g","48mg","1.4mg","132mg"
"Four Lakes Market","lunch","Chipotle Sweet Potato Soup","sesame","1 serving","174","7g","1.2g","0g","0mg","683mg","25g","4g","9g","2g","49mg","1.2mg","270mg"
"Four Lakes Market","lunch","Watermelon Slices","","1 slice","34","0.2g","0g","0g","0mg","1mg","9g","1g","7g","1g","8mg","0.3mg","127mg"
"Four Lakes Market","lunch","Build Your Own Yogurt Bar","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Four Lakes Market","lunch","Build Your Own Salad","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Four Lakes Market","lunch","Popcake Pancake","dairy, egg, wheat","1 each","42","0.6g","0.3g","0g","9mg","31mg","8g","0g","3g","1g","81mg","0.4mg","0mg"
"Four Lakes Market","lunch","Snickerdoodle Cookie","dairy, egg, wheat","1 1.5 oz","178","8g","4.5g","0g","20mg","178mg","26g","0g","15g","2g","7mg","1mg","70mg"
"Four Lakes Market","lunch","Sugar Cookie","dairy, egg, wheat","1 1.5 oz","178","8g","3.5g","0g","10mg","188mg","26g","0g","14g","2g","6mg","1mg","22mg"
"Four Lakes Market","lunch","-Lemon Coconut Mini Cake","wheat, coconut, corn","1 each","263","9g","2.7g","0g","0mg","172mg","44g","1g","30g","2g","2mg","0.8mg","32mg"
"Four Lakes Market","lunch","-Chocolate Mousse w/ Oreo Crumbs","dairy, wheat, soy","1 each","176","13g","8g","0g","33mg","62mg","14g","0g","11g","1g","21mg","0.5mg","72mg"
"Four Lakes Market","lunch","California Roll (FujiSan)","egg, wheat, soy","3 pieces","140","3.5g","0g","0g","0mg","720mg","24g","1g","4g","4g","34mg","1mg","166mg"
"Four Lakes Market","lunch","Tempura Roll","egg, wheat, soy","1 pack","273","6g","0.8g","0g","8mg","867mg","48g","0g","N/A","5g","0mg","1.7mg","0mg"
"Four Lakes Market","lunch","Cucumber Avocado Roll (FujiSan)","wheat, soy, sesame","1 3 piece","108","2.5g","0g","0g","0mg","558mg","20g","2g","3g","3g","31mg","0.8mg","146mg"
"Gordon Avenue Market","lunch","Beef Stew","wheat, corn","8 oz","243","10g","3.1g","0g","63mg","643mg","14g","2g","3g","22g","36mg","1.9mg","476mg"
"Gordon Avenue Market","lunch","Lemon Pepper Cod Fillet","fish, corn","1 serving  4.3 oz","95","1.1g","0g","0g","53mg","581mg","0g","0g","N/A","21g","0mg","0mg","0mg"
"Gordon Avenue Market","lunch","Vegan Paella","wheat, soy, corn","1 6 oz","147","1.3g","0.2g","0g","0mg","460mg","25g","1g","1g","9g","20mg","0.9mg","116mg"
"Gordon Avenue Market","lunch","Glazed Baby Carrots","soy, corn","1 4 oz","122","5g","1.7g","0g","0mg","401mg","18g","3g","14g","1g","30mg","0.5mg","229mg"
"Gordon Avenue Market","lunch","Steamed Baby Spinach","","1 4 oz","28","0.5g","0.1g","0g","0mg","96mg","4g","3g","1g","3g","121mg","3.3mg","680mg"
"Gordon Avenue Market","lunch","Quinoa Pilaf","corn","1 4 oz","154","4g","0.3g","0g","0mg","371mg","23g","3g","1g","5g","22mg","1.7mg","217mg"
"Gordon Avenue Market","lunch","Buttermilk Biscuit","dairy, wheat","1 each","263","11g","8g","0g","0mg","838mg","35g","1g","3g","5g","50mg","2.2mg","0mg"
"Gordon Avenue Market","lunch","Buona Cucina Condiment","dairy, corn","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gordon Avenue Market","lunch","Cellentani Pasta","wheat","1 5 oz","422","3.6g","0.1g","0g","0mg","29mg","90g","2g","0g","8g","0mg","0mg","0mg"
"Gordon Avenue Market","lunch","Whole Grain Penne","wheat","1 5 oz","305","4.6g","0.2g","0g","0mg","51mg","62g","1g","0g","6g","0mg","0mg","0mg"
"Gordon Avenue Market","lunch","Sweet Potato Noodles","","1 6 oz","153","0g","0g","0g","0mg","94mg","34g","5g","7g","3g","51mg","1mg","0mg"
"Gordon Avenue Market","lunch","Gluten Free Rotini (VN)","corn","1 aycte","222","1.2g","0g","0g","0mg","1871mg","51g","2g","0g","5g","0mg","0mg","90mg"
"Gordon Avenue Market","lunch","Caribbean Vegetable Blend","","1 4 oz","44","0g","0g","0g","0mg","38mg","8g","3g","4g","1g","25mg","0mg","210mg"
"Gordon Avenue Market","lunch","Beef & Chicken Meatballs","dairy, egg, wheat","1 2 oz","128","9g","3.4g","0g","40mg","398mg","3g","0g","0g","9g","20mg","0.5mg","128mg"
"Gordon Avenue Market","lunch","Beef Ravioli w/Tomato Sauce","dairy, egg, wheat","1 8 oz","333","7g","1.8g","0g","20mg","687mg","55g","5g","4g","14g","74mg","1.9mg","559mg"
"Gordon Avenue Market","lunch","Italian Pork Sausage","corn","1 2 oz","202","17g","6g","0g","35mg","405mg","2g","0g","1g","9g","0mg","0.4mg","0mg"
"Gordon Avenue Market","lunch","Veggie Meatballs","wheat, soy, corn","1 2","151","7g","0.5g","0g","0mg","383mg","9g","3g","1g","14g","60mg","1.8mg","232mg"
"Gordon Avenue Market","lunch","Homestyle Marinara Sauce","corn","1 3 oz","42","1.2g","0.2g","0g","0mg","269mg","7g","2g","4g","1g","21mg","0.7mg","350mg"
"Gordon Avenue Market","lunch","Italian Meat Sauce","corn","1 3 oz","78","4.1g","1.4g","0g","13mg","194mg","6g","2g","3g","4g","11mg","0.8mg","167mg"
"Gordon Avenue Market","lunch","Cheese Pizza Slice (Veg)","dairy, wheat, soy","1 slice","357","13g","8g","0g","31mg","947mg","43g","2g","3g","18g","226mg","2.6mg","120mg"
"Gordon Avenue Market","lunch","Loaded Potato Bacon (Pork) Pizza Slice","dairy, egg, wheat","1 slice","497","26g","11g","0g","50mg","1141mg","47g","2g","4g","21g","212mg","2.6mg","155mg"
"Gordon Avenue Market","lunch","Pizza Slice Philly Cheesesteak","dairy, wheat, soy","1 slice","359","14g","7g","0g","33mg","992mg","43g","2g","3g","18g","163mg","2.8mg","141mg"
"Gordon Avenue Market","lunch","Cheese Pizza - Cauliflower Crust GF","dairy, corn","0.25 serving","202","10g","7g","0g","25mg","441mg","18g","2g","2g","9g","181mg","0.5mg","83mg"
"Gordon Avenue Market","lunch","Lemon Pepper Tuna Salad","egg, soy, fish","1 3 oz","246","23g","3.1g","0g","27mg","437mg","1g","0g","1g","9g","7mg","0.5mg","44mg"
"Gordon Avenue Market","lunch","Build Your Own Sandwich","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gordon Avenue Market","lunch","Scrambled Eggs","egg, corn","1 4 oz","253","19g","4.6g","0g","600mg","200mg","1g","0g","1g","19g","0mg","0mg","172mg"
"Gordon Avenue Market","lunch","Egg (JUST) Scrambled","soy, corn","1 4 oz","244","19g","0.3g","0g","0mg","467mg","3g","0g","0g","15g","0mg","0mg","88mg"
"Gordon Avenue Market","lunch","Scrambled Egg Whites","egg","1 6 oz","141","5g","0.4g","0g","0mg","273mg","0g","0g","0g","18g","0mg","0mg","0mg"
"Gordon Avenue Market","lunch","Make Your Own Waffle w/Fruit & Cream","dairy, egg, wheat","1 12 oz","580","20g","11g","0g","50mg","1171mg","89g","1g","24g","7g","507mg","4.7mg","18mg"
"Gordon Avenue Market","lunch","Potato Rounds","soy, corn","1 3 oz","209","14g","2.1g","0g","0mg","386mg","20g","1g","0g","2g","9mg","0.6mg","273mg"
"Gordon Avenue Market","lunch","Bacon","","1 2 slice","79","6g","2.6g","0g","18mg","291mg","0g","0g","0g","5g","0mg","0mg","0mg"
"Gordon Avenue Market","lunch","Turkey Sausage Links","corn","1 2 each","109","8g","2g","0g","40mg","288mg","1g","0g","1g","10g","20mg","1mg","308mg"
"Gordon Avenue Market","lunch","Veggie Sausage Patties (VN)","wheat, soy, corn","1 2","200","10g","0g","0g","0mg","820mg","10g","4g","2g","18g","80mg","2.9mg","420mg"
"Gordon Avenue Market","lunch","Italian Meatball Sandwich","dairy, egg, wheat","1 each","498","22g","9g","0g","80mg","1538mg","47g","4g","7g","27g","225mg","3.8mg","828mg"
"Gordon Avenue Market","lunch","Vegetarian Italian Meatball Sandwich","dairy, wheat, soy","1 13.8 oz","533","19g","4.8g","0g","19mg","1515mg","56g","8g","9g","35g","285mg","5.8mg","983mg"
"Gordon Avenue Market","lunch","Sweet Potato Fries","soy, corn","1 3 oz","171","10g","1.9g","0g","0mg","153mg","18g","2g","7g","1g","0mg","0.4mg","296mg"
"Gordon Avenue Market","lunch","Build Your Own Stir Fry","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gordon Avenue Market","lunch","Vegan Chorizo Crumbles","soy, corn","1 aycte","106","8g","1g","0g","0mg","404mg","6g","5g","0g","9g","67mg","1.9mg","279mg"
"Gordon Avenue Market","lunch","Chicken Tinga","corn","1 2 oz","67","3g","1g","0g","34mg","256mg","2g","0g","1g","7g","0mg","0.3mg","189mg"
"Gordon Avenue Market","lunch","Cilantro Lime White Rice","","0.25 cups","42","0g","0g","0g","0mg","41mg","9g","0g","0g","1g","5mg","0.4mg","4mg"
"Gordon Avenue Market","lunch","Beef Taco Meat","corn","1 2 oz","151","10g","3.8g","0g","37mg","313mg","3g","0g","0g","9g","0mg","1.1mg","1mg"
"Gordon Avenue Market","lunch","Black Beans","corn","4 oz","89","0.8g","0g","0g","0mg","379mg","16g","3g","2g","4g","42mg","1.4mg","0mg"
"Gordon Avenue Market","lunch","Build Your Own Taco Bar","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gordon Avenue Market","lunch","Gordon's Great Greens","dairy, egg, wheat","1 customer'","49","2.6g","0.8g","0g","30mg","118mg","3g","1g","1g","4g","17mg","0.5mg","94mg"
"Gordon Avenue Market","lunch","Tofu","soy","3 oz","90","4g","0g","0g","0mg","40mg","3g","1g","0g","8g","0mg","0mg","0mg"
"Gordon Avenue Market","lunch","Bulgar Wheat","wheat","2 oz","24","0.1g","0g","0g","0mg","2mg","5g","1g","0g","1g","4mg","0.3mg","20mg"
"Gordon Avenue Market","lunch","Beans Black - great greens (VN)","","1 oz","26","0.1g","0g","0g","0mg","98mg","5g","1g","0g","2g","13mg","0.4mg","0mg"
"Gordon Avenue Market","lunch","Chicken Noodle Soup","egg, wheat, corn","1 cup  12 oz","191","4.2g","0.4g","0g","61mg","1291mg","25g","2g","4g","13g","48mg","1.4mg","132mg"
"Gordon Avenue Market","lunch","Chipotle Sweet Potato Soup","sesame","1 serving","174","7g","1.2g","0g","0mg","683mg","25g","4g","9g","2g","49mg","1.2mg","270mg"
"Gordon Avenue Market","lunch","Watermelon Slices","","1 slice","34","0.2g","0g","0g","0mg","1mg","9g","1g","7g","1g","8mg","0.3mg","127mg"
"Gordon Avenue Market","lunch","Build Your Own Yogurt Bar","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gordon Avenue Market","lunch","Build Your Own Salad","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Gordon Avenue Market","lunch","Chocolate Ice Cream (Soft Serve)","dairy, corn","1 serving","168","6g","3.9g","0g","25mg","118mg","27g","1g","23g","4g","148mg","1.3mg","306mg"
"Gordon Avenue Market","lunch","Vanilla Ice Cream (Soft Serve)","dairy, corn","1 serving","168","6g","3.9g","0g","25mg","108mg","25g","0g","22g","4g","128mg","0mg","207mg"
"Gordon Avenue Market","lunch","Popcake Pancake","dairy, egg, wheat","1 each","42","0.6g","0.3g","0g","9mg","31mg","8g","0g","3g","1g","81mg","0.4mg","0mg"
"Gordon Avenue Market","lunch","Snickerdoodle Cookie","dairy, egg, wheat","1 1.5 oz","178","8g","4.5g","0g","20mg","178mg","26g","0g","15g","2g","7mg","1mg","70mg"
"Gordon Avenue Market","lunch","Sugar Cookie","dairy, egg, wheat","1 1.5 oz","178","8g","3.5g","0g","10mg","188mg","26g","0g","14g","2g","6mg","1mg","22mg"
"Gordon Avenue Market","lunch","-Lemon Coconut Mini Cake","wheat, coconut, corn","1 each","263","9g","2.7g","0g","0mg","172mg","44g","1g","30g","2g","2mg","0.8mg","32mg"
"Gordon Avenue Market","lunch","-Chocolate Mousse w/ Oreo Crumbs","dairy, wheat, soy","1 each","176","13g","8g","0g","33mg","62mg","14g","0g","11g","1g","21mg","0.5mg","72mg"
"Gordon Avenue Market","lunch","Banana Bread (VN)","wheat, corn","1 each","190","7g","0.5g","0g","0mg","176mg","31g","1g","15g","2g","4mg","0.9mg","77mg"
"Lowell Market","lunch","Butter Chicken","dairy","1 4 oz","153","10g","2.8g","0g","58mg","253mg","4g","1g","2g","12g","23.7mg","0.9mg","29mg"
"Lowell Market","lunch","Tofu & Vegetable Tikka Masala","soy, coconut, corn","1 5 oz","114","4.2g","1.6g","0g","0mg","229mg","9g","2g","4g","5g","21.9mg","1mg","190mg"
"Lowell Market","lunch","Long Grain Rice (VN)","","1 4 oz","148","0.3g","0.1g","0g","0mg","1mg","32g","1g","0g","3g","11mg","0.2mg","40mg"
"Lowell Market","lunch","Samosas","wheat, soy, corn","1 1 each","159","9g","1g","0g","1mg","250mg","16g","2g","1g","3g","13.9mg","0.5mg","86mg"
"Lowell Market","lunch","Stonefire Naan Bread","dairy, egg, wheat","1 each","134","3.1g","0.4g","0g","4mg","385mg","22g","1g","2g","4g","39mg","0.9mg","44mg"
"Lowell Market","lunch","Tamarind Chutney","","1 0.25 cup","121","0g","0g","0g","0mg","223mg","34g","0g","32g","0g","0mg","0.7mg","0mg"
"Lowell Market","lunch","Popcake Pancake","dairy, egg, wheat","1 each","42","0.6g","0.3g","0g","9mg","31mg","8g","0g","3g","1g","81mg","0.4mg","0mg"
"Lowell Market","lunch","Snickerdoodle Cookie","dairy, egg, wheat","1 1.5 oz","178","8g","4.5g","0g","20mg","178mg","26g","0g","15g","2g","7mg","1mg","70mg"
"Lowell Market","lunch","-Lemon Coconut Mini Cake","wheat, coconut, corn","1 each","263","9g","2.7g","0g","0mg","172mg","44g","1g","30g","2g","2mg","0.8mg","32mg"
"Lowell Market","lunch","-Chocolate Mousse w/ Oreo Crumbs","dairy, wheat, soy","1 each","176","13g","8g","0g","33mg","62mg","14g","0g","11g","1g","21mg","0.5mg","72mg"
"Lowell Market","lunch","Banana Bread (VN)","wheat, corn","1 each","190","7g","0.5g","0g","0mg","176mg","31g","1g","15g","2g","4mg","0.9mg","77mg"
"Lowell Market","lunch","Station Recipe - Deli Lowell AYCTE","dairy, egg, wheat","1 customer","74","3.7g","1.3g","0g","9mg","226mg","7g","1g","1g","3g","32mg","0.4mg","39mg"
"Lowell Market","lunch","Build Your Own Sandwich","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Lowell Market","lunch","Great Greens","dairy, egg, wheat","1 customer'","19","1.1g","0.3g","0g","5mg","49mg","1g","0g","0g","1g","4mg","0.1mg","20mg"
"Lowell Market","lunch","Tofu","soy","3 oz","90","4g","0g","0g","0mg","40mg","3g","1g","0g","8g","0mg","0mg","0mg"
"Lowell Market","lunch","Bulgar Wheat","wheat","2 oz","24","0.1g","0g","0g","0mg","2mg","5g","1g","0g","1g","4mg","0.3mg","20mg"
"Lowell Market","lunch","Black Beans","","1 4 oz","105","0.4g","0g","0g","0mg","396mg","20g","5g","1g","6g","52.5mg","1.6mg","0mg"
"Lowell Market","lunch","Chicken Noodle Soup","egg, wheat, corn","1 cup  12 oz","191","4.2g","0.4g","0g","61mg","1291mg","25g","2g","4g","13g","48mg","1.4mg","132mg"
