"location_name","meal_type","item_name","dietary_traits","serving_size","calories","total_fat","saturated_fat","trans_fat","cholesterol","sodium","total_carbohydrate","dietary_fiber","total_sugars","protein","calcium","iron","potassium"
"Four Lakes Market","breakfast","Spinach","","1 0.5 cup","13","0.2g","0g","0g","0mg","45mg","2g","1g","0g","2g","56mg","1.5mg","316mg"
"Liz's Market","breakfast","Hard Cooked Egg","egg","1 each","45","2.8g","1.1g","0g","118mg","45mg","0g","0g","0g","4g","23mg","0.6mg","0mg"
"Liz's Market","breakfast","Egg (JUST) Scrambled","soy, corn","1 4 oz","244","19g","0.3g","0g","0mg","467mg","3g","0g","0g","15g","0mg","0mg","88mg"
"Liz's Market","breakfast","Scrambled Eggs","egg, corn","1 4 oz","253","19g","4.6g","0g","600mg","200mg","1g","0g","1g","19g","0mg","0mg","172mg"
"Liz's Market","breakfast","Vegan French Toast","wheat, coconut, corn","1 1","178","10g","6g","0g","0mg","170mg","20g","1g","7g","2g","2mg","1.1mg","83mg"
"Liz's Market","breakfast","Breakfast Ham","corn","1 2.1 oz","74","3.3g","1.1g","0g","26mg","701mg","2g","0g","2g","8g","0mg","0mg","94mg"
"Liz's Market","breakfast","Blueberry Pancakes (1)","dairy, egg, wheat","1 3 oz","174","8g","3.9g","0g","74mg","385mg","21g","1g","5g","5g","50mg","1mg","65mg"
"Liz's Market","breakfast","Egg, Ham & Cheese Biscuit","dairy, egg, wheat","1 7.8 oz","484","28g","15g","0g","162mg","1981mg","37g","1g","6g","21g","63mg","2.9mg","198mg"
"Liz's Market","breakfast","Egg & Cheese Biscuit","dairy, egg, wheat","1 5.3 oz","422","25g","13g","0g","139mg","1282mg","37g","1g","4g","13g","69mg","3.2mg","101mg"
"Liz's Market","breakfast","Turkey Sausage Links","corn","1 2 each","109","8g","2g","0g","40mg","288mg","1g","0g","1g","10g","20mg","1mg","308mg"
"Liz's Market","breakfast","Veggie Sausage Patty (VN)","wheat, soy, corn","1 1","100","5g","0g","0g","0mg","410mg","5g","2g","1g","9g","40mg","1.4mg","210mg"
"Liz's Market","breakfast","Redstone Potatoes - 3 oz","wheat, soy, corn","1 3 oz","163","10g","1.6g","0g","0mg","324mg","16g","2g","0g","2g","0mg","0mg","0mg"
"Liz's Market","breakfast","Glazed Ring Donut","dairy, egg, wheat","1 each","270","12g","5g","0g","0mg","280mg","37g","1g","18g","4g","10mg","1.3mg","50mg"
"Liz's Market","breakfast","Iced Chocolate Donut Ring","dairy, egg, wheat","1 each","350","18g","9g","0g","15mg","490mg","43g","1g","20g","4g","20mg","1.6mg","110mg"
"Liz's Market","breakfast","Raspberry Filled Iced Donut","dairy, egg, wheat","1 each","330","16g","8g","0g","0mg","360mg","41g","1g","13g","4g","10mg","1.5mg","70mg"
"Liz's Market","breakfast","Popcake Pancake","dairy, egg, wheat","1 each","42","0.6g","0.3g","0g","9mg","31mg","8g","0g","3g","1g","81mg","0.4mg","0mg"
"Liz's Market","breakfast","Banana Bread (VN)","wheat, corn","1 each","190","7g","0.5g","0g","0mg","176mg","31g","1g","15g","2g","4mg","0.9mg","77mg"
"Liz's Market","breakfast","Muffin Mini Blueberry","dairy, egg, wheat","1 each","95","2.3g","0.4g","0g","6mg","63mg","18g","0g","7g","1g","18mg","0.3mg","15mg"
"Liz's Market","breakfast","Muffin Mini Double Chocolate","dairy, egg, wheat","1 each","85","3.8g","0.8g","0g","11mg","58mg","12g","1g","7g","1g","13mg","0.3mg","55mg"
"Rheta's Market","breakfast","Glazed Ring Donut","dairy, egg, wheat","1 each","270","12g","5g","0g","0mg","280mg","37g","1g","18g","4g","10mg","1.3mg","50mg"
"Rheta's Market","breakfast","Iced Chocolate Donut Ring","dairy, egg, wheat","1 each","350","18g","9g","0g","15mg","490mg","43g","1g","20g","4g","20mg","1.6mg","110mg"
"Rheta's Market","breakfast","Raspberry Filled Iced Donut","dairy, egg, wheat","1 each","330","16g","8g","0g","0mg","360mg","41g","1g","13g","4g","10mg","1.5mg","70mg"
"Rheta's Market","breakfast","Popcake Pancake","dairy, egg, wheat","1 each","42","0.6g","0.3g","0g","9mg","31mg","8g","0g","3g","1g","81mg","0.4mg","0mg"
"Rheta's Market","breakfast","Banana Bread (VN)","wheat, corn","1 each","190","7g","0.5g","0g","0mg","176mg","31g","1g","15g","2g","4mg","0.9mg","77mg"
"Rheta's Market","breakfast","Muffin Mini Blueberry","dairy, egg, wheat","1 each","95","2.3g","0.4g","0g","6mg","63mg","18g","0g","7g","1g","18mg","0.3mg","15mg"
"Rheta's Market","breakfast","Muffin Mini Double Chocolate","dairy, egg, wheat","1 each","85","3.8g","0.8g","0g","11mg","58mg","12g","1g","7g","1g","13mg","0.3mg","55mg"
"Rheta's Market","breakfast","Hard Cooked Egg","egg","1 each","45","2.8g","1.1g","0g","118mg","45mg","0g","0g","0g","4g","23mg","0.6mg","0mg"
"Rheta's Market","breakfast","Scrambled Eggs","egg, corn","1 4 oz","253","19g","4.6g","0g","600mg","200mg","1g","0g","1g","19g","0mg","0mg","172mg"
"Rheta's Market","breakfast","Pancakes (1)","dairy, egg, wheat","1 serving","194","10g","4.7g","0g","87mg","456mg","22g","1g","4g","6g","55mg","1.1mg","62mg"
"Rheta's Market","breakfast","Waffle Strawberries & Whipped Crm","dairy, wheat, soy","1 11.6 oz","671","25g","13g","0g","71mg","1198mg","95g","1g","31g","6g","501mg","4.5mg","6mg"
"Rheta's Market","breakfast","Egg (JUST) Scrambled","soy, corn","1 4 oz","244","19g","0.3g","0g","0mg","467mg","3g","0g","0g","15g","0mg","0mg","88mg"
"Rheta's Market","breakfast","Hashbrown Patty","wheat, soy, corn","1 each","157","10g","1.7g","0g","0mg","273mg","15g","1g","0g","1g","0mg","0.4mg","202mg"
"Rheta's Market","breakfast","Bacon","","1 2 slice","79","6g","2.6g","0g","18mg","291mg","0g","0g","0g","5g","0mg","0mg","0mg"
"Rheta's Market","breakfast","Chicken Sausage Patty","corn","1 1","80","5g","1.5g","0g","40mg","300mg","1g","0g","0g","7g","0mg","0.4mg","0mg"
"Rheta's Market","breakfast","Veggie Sausage Patty (VN)","wheat, soy, corn","1 1","100","5g","0g","0g","0mg","410mg","5g","2g","1g","9g","40mg","1.4mg","210mg"
"Rheta's Market","breakfast","Oatmeal (VN)","wheat","1 6 oz","74","1.5g","0.2g","0g","0mg","46mg","13g","2g","1g","2g","5mg","0.9mg","2mg"
"Rheta's Market","breakfast","Medium Salsa","corn","1 0.25 cup","19","0g","0g","0g","0mg","458mg","6g","2g","4g","0g","0mg","0mg","0mg"
