Restaurant Name
Strada
Der Rathskeller
Carte
Sunset Lounge
Daily Scoop in Memorial Union
Daily Scoop in Union South
Naan Stop Express
Badger Market in Memorial Union
South Cantina
Peet's Coffee
Harvest Grains
Ginger Root
Prairie Fire
Der Stiftskeller
Robin's Nest
Capital Café
Badger Market in Biochemistry
Badger Market in Health Sciences Learning Center
Badger Market in Ingraham
Badger Market in Medical Sciences
Badger Market in Union South
Badger Market in Veterinary Medicine
Crossroads Café
Badger Market in Engineering
Microcosm Café
Open Book Café
Sett Pub
Sett Recreation
Revive
The Brat Stand
Lakeview Lounge
Terrace Store at Lakeview Lounge
BBQ Stand
Chazen Café
Union Commons
Acai & More
Smitty's Study Pub
Oros Executive Dining Room
